window_id,start_broker,end_broker,side,expected_exit_reason,actual_exit_reason,expected_exit_utc,actual_exit_utc,likely_cause,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price
breach-01,2026.03.13 12:43:00,2026.03.13 15:17:00,long,stop_loss,timeout,2026-03-13T11:45:00Z,2026-03-13T14:15:00Z,timeout_rule_mismatch,1.14508,1.14508,1.14838,1.14838
breach-02,2026.03.02 13:47:40,2026.03.02 14:49:00,short,take_profit,stop_loss,2026-03-02T13:47:00Z,2026-03-02T12:49:40Z,exit_reason_mismatch,1.17414,1.17414,1.17084,1.17084
breach-03,2026.03.20 12:11:20,2026.03.20 13:06:00,short,take_profit,stop_loss,2026-03-20T12:04:00Z,2026-03-20T11:13:20Z,exit_reason_mismatch,1.15731,1.15731,1.15401,1.15401
breach-04,2026.04.09 15:19:40,2026.04.09 17:37:00,long,stop_loss,stop_loss,2026-04-09T15:35:00Z,2026-04-09T13:21:40Z,exit_timing_and_price_drift,1.16789,1.16805,1.17119,1.17135
breach-05,2026.01.07 14:09:00,2026.01.07 15:20:00,long,stop_loss,timeout,2026-01-07T13:11:00Z,2026-01-07T14:18:00Z,timeout_rule_mismatch,1.1681,1.1681,1.1714,1.1714
breach-06,2026.01.19 10:06:00,2026.01.19 11:03:00,short,stop_loss,stop_loss,2026-01-19T10:01:00Z,2026-01-19T09:08:00Z,exit_timing_and_price_drift,1.1628,1.16297,1.1595,1.15967
breach-07,2025.10.07 12:40:00,2025.10.07 13:04:00,short,take_profit,timeout,2025-10-07T10:42:00Z,2025-10-07T11:02:00Z,timeout_rule_mismatch,1.16936,1.16936,1.16606,1.16606
breach-08,2025.12.03 09:46:40,2025.12.03 10:27:00,long,stop_loss,stop_loss,2025-12-03T09:25:00Z,2025-12-03T08:48:40Z,exit_timing_and_price_drift,1.16377,1.164,1.16707,1.1673
