expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
0,1,short,2025-10-01T16:16:00Z,2025-10-01T16:16:00Z,2025-10-01T17:00:00Z,2025-10-01T17:00:40Z,1.17365,1.17365,1.17205,1.17205,16.0,16.0,take_profit,take_profit,True,1.17445,1.17445,1.17205,1.17205,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
2,2,short,2025-10-03T15:22:00Z,2025-10-03T15:22:00Z,2025-10-03T17:10:00Z,2025-10-03T17:10:00Z,1.17473,1.17473,1.17449,1.1745,2.4,2.3,timeout,timeout,True,1.17553,1.17553,1.17313,1.17313,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
3,3,long,2025-10-06T13:43:00Z,2025-10-06T13:43:00Z,2025-10-06T14:50:00Z,2025-10-06T14:51:40Z,1.16828,1.16829,1.16988,1.16989,16.0,16.0,take_profit,take_profit,True,1.16748,1.16749,1.16988,1.16989,False,False,True,,0.1,0.1,0.0,100.0,False,False,False,False,False,False,False,within_tolerance
5,5,short,2025-10-07T17:36:00Z,2025-10-07T17:36:00Z,2025-10-07T19:24:00Z,2025-10-07T19:24:00Z,1.16749,1.16749,1.16649,1.1665,10.0,9.9,timeout,timeout,True,1.16829,1.16829,1.16589,1.16589,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
6,6,short,2025-10-08T13:08:00Z,2025-10-08T13:08:00Z,2025-10-08T13:13:00Z,2025-10-08T13:13:40Z,1.16258,1.16258,1.16338,1.16338,-8.0,-8.0,stop_loss,stop_loss,True,1.16338,1.16338,1.16098,1.16098,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
7,7,long,2025-10-08T13:33:00Z,2025-10-08T13:33:00Z,2025-10-08T14:51:00Z,2025-10-08T14:51:40Z,1.16353,1.16354,1.16273,1.16274,-8.0,-8.0,stop_loss,stop_loss,True,1.16273,1.16274,1.16513,1.16514,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
8,8,short,2025-10-08T17:03:00Z,2025-10-08T17:03:00Z,2025-10-08T18:51:00Z,2025-10-08T18:51:00Z,1.16053,1.16053,1.16085,1.16085,-3.2,-3.2,timeout,timeout,True,1.16133,1.16133,1.15893,1.15893,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
9,9,short,2025-10-09T13:49:00Z,2025-10-09T13:49:00Z,2025-10-09T14:07:00Z,2025-10-09T14:07:20Z,1.16117,1.16117,1.16197,1.16197,-8.0,-8.0,stop_loss,stop_loss,True,1.16197,1.16197,1.15957,1.15957,False,False,True,,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
10,10,long,2025-10-10T14:45:00Z,2025-10-10T14:45:00Z,2025-10-10T16:00:00Z,2025-10-10T16:00:40Z,1.15673,1.15674,1.15833,1.15834,16.0,16.0,take_profit,take_profit,True,1.15593,1.15594,1.15833,1.15834,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
11,11,long,2025-10-13T13:20:00Z,2025-10-13T13:20:00Z,2025-10-13T13:30:00Z,2025-10-13T13:30:40Z,1.15735,1.15736,1.15655,1.15656,-8.0,-8.0,stop_loss,stop_loss,True,1.15655,1.15656,1.15895,1.15896,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
12,12,long,2025-10-13T16:45:00Z,2025-10-13T16:45:00Z,2025-10-13T18:33:00Z,2025-10-13T18:33:00Z,1.1571,1.15711,1.15752,1.15752,4.2,4.1,timeout,timeout,True,1.1563,1.15631,1.1587,1.15871,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
13,13,long,2025-10-14T16:45:00Z,2025-10-14T16:45:00Z,2025-10-14T17:00:00Z,2025-10-14T17:00:40Z,1.15938,1.15939,1.16098,1.16099,16.0,16.0,take_profit,take_profit,True,1.15858,1.15859,1.16098,1.16099,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
14,14,long,2025-10-14T17:39:00Z,2025-10-14T17:39:00Z,2025-10-14T19:27:00Z,2025-10-14T19:27:00Z,1.1607,1.16071,1.16069,1.16069,-0.1,-0.2,timeout,timeout,True,1.1599,1.15991,1.1623,1.16231,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
16,15,long,2025-10-15T15:56:00Z,2025-10-15T15:56:00Z,2025-10-15T16:41:00Z,2025-10-15T16:41:40Z,1.16239,1.1624,1.16399,1.164,16.0,16.0,take_profit,take_profit,True,1.16159,1.1616,1.16399,1.164,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
17,16,long,2025-10-16T13:02:00Z,2025-10-16T13:02:00Z,2025-10-16T14:50:00Z,2025-10-16T14:50:00Z,1.16547,1.16548,1.16635,1.16635,8.8,8.7,timeout,timeout,True,1.16467,1.16468,1.16707,1.16708,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
18,17,long,2025-10-16T15:50:00Z,2025-10-16T15:50:00Z,2025-10-16T16:50:00Z,2025-10-16T16:50:40Z,1.1672,1.16721,1.1664,1.16641,-8.0,-8.0,stop_loss,stop_loss,True,1.1664,1.16641,1.1688,1.16881,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
19,18,short,2025-10-16T17:40:00Z,2025-10-16T17:40:00Z,2025-10-16T18:06:00Z,2025-10-16T18:06:40Z,1.16731,1.16731,1.16811,1.16811,-8.0,-8.0,stop_loss,stop_loss,True,1.16811,1.16811,1.16571,1.16571,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
20,19,long,2025-10-17T15:56:00Z,2025-10-17T15:56:00Z,2025-10-17T17:44:00Z,2025-10-17T17:44:00Z,1.16679,1.1668,1.16752,1.16752,7.3,7.2,timeout,timeout,True,1.16599,1.166,1.16839,1.1684,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
21,20,long,2025-10-21T15:57:00Z,2025-10-21T15:57:00Z,2025-10-21T17:00:00Z,2025-10-21T17:00:40Z,1.16029,1.1603,1.16189,1.1619,16.0,16.0,take_profit,take_profit,True,1.15949,1.1595,1.16189,1.1619,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
22,21,short,2025-10-21T17:49:00Z,2025-10-21T17:49:00Z,2025-10-21T19:37:00Z,2025-10-21T19:37:00Z,1.16116,1.16116,1.1606,1.16061,5.6,5.5,timeout,timeout,True,1.16196,1.16196,1.15956,1.15956,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
23,22,long,2025-10-22T14:12:00Z,2025-10-22T14:12:00Z,2025-10-22T15:29:00Z,2025-10-22T15:29:40Z,1.1586,1.15861,1.1602,1.16021,16.0,16.0,take_profit,take_profit,True,1.1578,1.15781,1.1602,1.16021,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
24,23,long,2025-10-22T15:33:00Z,2025-10-22T15:33:00Z,2025-10-22T16:41:00Z,2025-10-22T16:41:40Z,1.16006,1.16007,1.16166,1.16167,16.0,16.0,take_profit,take_profit,True,1.15926,1.15927,1.16166,1.16167,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
25,24,short,2025-10-23T14:51:00Z,2025-10-23T14:51:00Z,2025-10-23T15:06:00Z,2025-10-23T15:06:40Z,1.16057,1.16057,1.16137,1.16137,-8.0,-8.0,stop_loss,stop_loss,True,1.16137,1.16137,1.15897,1.15897,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
26,25,long,2025-10-24T13:28:00Z,2025-10-24T13:28:00Z,2025-10-24T13:30:00Z,2025-10-24T13:30:40Z,1.16136,1.16136,1.16296,1.16296,16.0,16.0,take_profit,take_profit,True,1.16056,1.16056,1.16296,1.16296,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
27,26,long,2025-10-24T17:22:00Z,2025-10-24T17:22:00Z,2025-10-24T19:10:00Z,2025-10-24T19:10:00Z,1.16266,1.16267,1.16273,1.16273,0.7,0.6,timeout,timeout,True,1.16186,1.16187,1.16426,1.16427,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
28,27,long,2025-10-28T15:55:00Z,2025-10-28T15:55:00Z,2025-10-28T16:20:00Z,2025-10-28T16:20:40Z,1.16368,1.16369,1.16528,1.16529,16.0,16.0,take_profit,take_profit,True,1.16288,1.16289,1.16528,1.16529,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
29,28,short,2025-10-29T14:36:00Z,2025-10-29T14:36:00Z,2025-10-29T15:18:00Z,2025-10-29T15:18:40Z,1.16356,1.16356,1.16436,1.16436,-8.0,-8.0,stop_loss,stop_loss,True,1.16436,1.16436,1.16196,1.16196,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
30,29,long,2025-10-29T15:30:00Z,2025-10-29T15:30:00Z,2025-10-29T15:48:00Z,2025-10-29T15:48:40Z,1.1643,1.16431,1.1635,1.16351,-8.0,-8.0,stop_loss,stop_loss,True,1.1635,1.16351,1.1659,1.16591,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
