timestamp_utc,exit_timestamp_utc,side,entry_price,exit_price,pnl_pips,pnl_dollars,candidate_id,run_id,magic_number,ticket
2025.10.01 15:36:00Z,2025.10.01 15:41:29Z,short,1.17533,1.17446,8.70000,435.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,3
2025.10.02 16:19:00Z,2025.10.02 16:31:46Z,short,1.17380,1.17431,-5.10000,-255.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,5
2025.10.09 16:15:00Z,2025.10.09 16:18:49Z,long,1.16147,1.16097,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,7
2025.10.10 16:45:00Z,2025.10.10 17:09:51Z,long,1.15674,1.15761,8.70000,435.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,9
2025.10.14 15:29:00Z,2025.10.14 15:40:05Z,short,1.15616,1.15529,8.70000,435.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,11
2025.10.14 16:33:00Z,2025.10.14 16:59:00Z,long,1.15750,1.15764,1.40000,70.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,13
2025.10.15 16:07:00Z,2025.10.15 16:11:12Z,short,1.16137,1.16187,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,15
2025.10.22 16:12:00Z,2025.10.22 16:34:46Z,long,1.15859,1.15947,8.80000,440.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,17
2025.10.29 16:56:00Z,2025.10.29 17:22:02Z,short,1.16369,1.16401,-3.20000,-160.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,19
2025.11.07 16:14:01Z,2025.11.07 16:40:00Z,long,1.15720,1.15715,-0.50000,-25.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,21
2025.11.11 15:54:00Z,2025.11.11 15:55:35Z,short,1.15957,1.16007,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,23
2025.11.21 15:25:00Z,2025.11.21 15:51:00Z,long,1.15209,1.15231,2.20000,110.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,25
2025.11.24 16:57:00Z,2025.11.24 17:10:19Z,short,1.15282,1.15194,8.80000,440.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,27
2025.11.28 16:12:00Z,2025.11.28 16:22:58Z,long,1.15802,1.15751,-5.10000,-255.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,29
2025.12.04 15:49:00Z,2025.12.04 16:03:53Z,short,1.16634,1.16684,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,31
2025.12.16 16:10:00Z,2025.12.16 16:18:17Z,long,1.17765,1.17714,-5.10000,-255.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,33
2025.12.16 16:45:00Z,2025.12.16 16:47:57Z,short,1.17836,1.17886,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,35
2025.12.18 15:41:00Z,2025.12.18 15:42:39Z,long,1.17419,1.17369,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,37
2025.12.29 16:50:00Z,2025.12.29 16:55:07Z,long,1.17861,1.17810,-5.10000,-255.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,39
2026.01.12 14:57:01Z,2026.01.12 15:06:14Z,short,1.16808,1.16859,-5.10000,-255.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,41
2026.01.27 14:41:00Z,2026.01.27 14:42:27Z,short,1.19144,1.19194,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,43
2026.01.30 15:14:00Z,2026.01.30 15:16:28Z,long,1.19210,1.19156,-5.40000,-270.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,45
2026.02.02 15:10:00Z,2026.02.02 15:20:11Z,short,1.18395,1.18307,8.80000,440.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,47
2026.02.02 16:06:00Z,2026.02.02 16:14:12Z,short,1.18193,1.18101,9.20000,460.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,49
2026.02.05 14:40:00Z,2026.02.05 14:54:47Z,long,1.17969,1.17919,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,51
2026.02.05 15:02:00Z,2026.02.05 15:08:23Z,long,1.17995,1.17944,-5.10000,-255.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,53
2026.02.05 15:44:00Z,2026.02.05 15:51:36Z,short,1.18062,1.18112,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,55
2026.02.05 16:05:00Z,2026.02.05 16:12:09Z,short,1.18098,1.18150,-5.20000,-260.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,57
2026.02.06 16:47:00Z,2026.02.06 16:59:31Z,long,1.18230,1.18180,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,59
2026.02.09 15:24:00Z,2026.02.09 15:27:13Z,long,1.18930,1.19018,8.80000,440.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,61
2026.02.09 15:31:00Z,2026.02.09 15:44:28Z,long,1.18978,1.18928,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,63
2026.02.09 16:53:00Z,2026.02.09 17:00:35Z,long,1.19122,1.19214,9.20000,460.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,65
2026.02.10 16:52:00Z,2026.02.10 17:14:00Z,short,1.19127,1.19040,8.70000,435.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,67
2026.02.11 15:48:00Z,2026.02.11 15:48:41Z,long,1.18674,1.18761,8.70000,435.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,69
2026.02.19 16:47:00Z,2026.02.19 16:47:55Z,long,1.17500,1.17449,-5.10000,-255.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,71
2026.03.03 13:28:00Z,2026.03.03 13:39:10Z,short,1.15849,1.15899,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,73
2026.03.03 14:47:00Z,2026.03.03 15:05:11Z,long,1.16088,1.16038,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,75
2026.03.04 16:28:00Z,2026.03.04 16:31:04Z,long,1.16376,1.16326,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,77
2026.03.04 16:59:00Z,2026.03.04 17:19:27Z,short,1.16246,1.16296,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,79
2026.03.05 13:32:00Z,2026.03.05 13:58:00Z,short,1.16086,1.16100,-1.40000,-70.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,81
2026.03.06 14:44:00Z,2026.03.06 14:48:23Z,long,1.15660,1.15610,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,83
2026.03.06 15:43:00Z,2026.03.06 15:45:45Z,long,1.15876,1.15826,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,85
2026.03.06 16:18:00Z,2026.03.06 16:28:47Z,short,1.15518,1.15568,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,87
2026.03.09 13:54:00Z,2026.03.09 14:20:00Z,long,1.15599,1.15641,4.20000,210.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,89
2026.03.09 16:50:00Z,2026.03.09 17:05:50Z,short,1.15769,1.15681,8.80000,440.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,91
2026.03.10 14:35:00Z,2026.03.10 14:48:30Z,short,1.16408,1.16458,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,93
2026.03.10 15:22:00Z,2026.03.10 15:45:53Z,long,1.16274,1.16361,8.70000,435.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,95
2026.03.11 14:50:00Z,2026.03.11 14:50:13Z,short,1.15995,1.16045,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,97
2026.03.12 13:39:00Z,2026.03.12 14:05:00Z,long,1.15549,1.15571,2.20000,110.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,99
2026.03.16 15:17:00Z,2026.03.16 15:43:00Z,long,1.14820,1.14807,-1.30000,-65.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,101
2026.03.17 13:12:01Z,2026.03.17 13:38:00Z,short,1.15127,1.15128,-0.10000,-5.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,103
2026.03.17 16:12:00Z,2026.03.17 16:24:04Z,long,1.15345,1.15433,8.80000,440.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,105
2026.03.17 16:49:00Z,2026.03.17 17:02:46Z,short,1.15363,1.15276,8.70000,435.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,107
2026.03.18 14:37:00Z,2026.03.18 14:41:45Z,short,1.15365,1.15415,-5.00000,-250.00,AF-CAND-0229,mt5run-20260324T002254Z,200229,109
