expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,baseline_expected_exit_timestamp_utc,baseline_expected_exit_price,baseline_expected_pnl_pips,baseline_expected_exit_reason,baseline_expected_stop_loss_price,baseline_expected_take_profit_price,comparison_basis,boundary_ambiguous_close_timing,boundary_ambiguous_exit_semantics,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
0,2,short,2025-10-01T08:22:00Z,2025-10-01T08:22:00Z,2025-10-01T08:42:00Z,2025-10-01T08:42:40Z,1.1768,1.1768,1.1744,1.1744,24.0,24.0,take_profit,take_profit,True,1.1775,1.1775,1.1744,1.1744,False,False,True,,2025-10-01T08:42:00Z,1.1744,24.0,take_profit,1.1775,1.1744,actual_fill_adjusted_executable,False,True,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
1,3,short,2025-10-01T08:43:00Z,2025-10-01T08:43:00Z,2025-10-01T08:49:00Z,2025-10-01T08:49:40Z,1.1743,1.1743,1.175,1.175,-7.0,-7.0,stop_loss,stop_loss,True,1.175,1.175,1.1719,1.1719,False,False,True,,2025-10-01T08:49:00Z,1.175,-7.0,stop_loss,1.175,1.1719,actual_fill_adjusted_executable,False,True,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
2,4,long,2025-10-01T08:54:00Z,2025-10-01T08:54:00Z,2025-10-01T10:08:00Z,2025-10-01T10:08:20Z,1.17536,1.17537,1.17467,1.17467,-7.0,-7.0,stop_loss,stop_loss,True,1.17467,1.17467,1.17777,1.17777,False,False,True,,2025-10-01T10:08:00Z,1.17466,-7.0,stop_loss,1.17466,1.17776,actual_fill_adjusted_executable,False,True,0.1,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
3,5,short,2025-10-01T10:09:00Z,2025-10-01T10:09:00Z,2025-10-01T11:20:00Z,2025-10-01T11:20:40Z,1.17486,1.17486,1.17246,1.17246,24.0,24.0,take_profit,take_profit,True,1.17556,1.17556,1.17246,1.17246,False,False,True,,2025-10-01T11:20:00Z,1.17246,24.0,take_profit,1.17556,1.17246,actual_fill_adjusted_executable,False,True,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
4,6,short,2025-10-01T11:21:00Z,2025-10-01T11:21:00Z,2025-10-01T11:50:00Z,2025-10-01T11:50:40Z,1.1723,1.1723,1.173,1.173,-7.0,-7.0,stop_loss,stop_loss,True,1.173,1.173,1.1699,1.1699,False,False,True,,2025-10-01T11:50:00Z,1.173,-7.0,stop_loss,1.173,1.1699,actual_fill_adjusted_executable,False,True,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
5,7,long,2025-10-01T11:51:00Z,2025-10-01T11:51:00Z,2025-10-01T11:55:00Z,2025-10-01T11:55:40Z,1.17299,1.17299,1.17229,1.17229,-7.0,-7.0,stop_loss,stop_loss,True,1.17229,1.17229,1.17539,1.17539,False,False,True,,2025-10-01T11:55:00Z,1.17229,-7.0,stop_loss,1.17229,1.17539,actual_fill_adjusted_executable,False,True,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
6,8,short,2025-10-01T11:56:00Z,2025-10-01T11:56:00Z,2025-10-01T12:02:00Z,2025-10-01T12:02:40Z,1.17207,1.17207,1.17277,1.17277,-7.0,-7.0,stop_loss,stop_loss,True,1.17277,1.17277,1.16967,1.16967,False,False,True,,2025-10-01T12:02:00Z,1.17277,-7.0,stop_loss,1.17277,1.16967,actual_fill_adjusted_executable,False,True,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
7,9,long,2025-10-01T12:08:00Z,2025-10-01T12:08:00Z,2025-10-01T13:15:00Z,2025-10-01T13:15:40Z,1.17287,1.17288,1.17528,1.17528,24.0,24.0,take_profit,take_profit,True,1.17218,1.17218,1.17528,1.17528,False,False,True,,2025-10-01T13:15:00Z,1.17527,24.0,take_profit,1.17217,1.17527,actual_fill_adjusted_executable,False,True,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
8,10,long,2025-10-01T13:16:00Z,2025-10-01T13:16:00Z,2025-10-01T15:14:00Z,2025-10-01T15:14:40Z,1.17484,1.17485,1.17415,1.17415,-7.0,-7.0,stop_loss,stop_loss,True,1.17415,1.17415,1.17725,1.17725,False,False,True,,2025-10-01T15:14:00Z,1.17414,-7.0,stop_loss,1.17414,1.17724,actual_fill_adjusted_executable,False,True,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
9,11,long,2025-10-02T08:00:00Z,2025-10-02T08:00:00Z,2025-10-02T10:30:00Z,2025-10-02T10:30:00Z,1.1743,1.17431,1.17559,1.17559,12.8,12.8,timeout,timeout,True,1.17361,1.17361,1.17671,1.17671,False,False,True,,2025-10-02T10:30:00Z,1.17559,12.9,timeout,1.1736,1.1767,actual_fill_adjusted_executable,False,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
