timestamp_utc,exit_timestamp_utc,side,entry_price,exit_price,pnl_pips,candidate_id,exit_reason,stop_loss_price,take_profit_price,same_bar_collision,collision_resolution
2025-10-01 15:16:00+00:00,2025-10-01 17:40:00+00:00,short,1.17357,1.1728,7.699999999999374,AF-CAND-0264,timeout,1.17497,1.17097,False,
2025-10-03 15:12:00+00:00,2025-10-03 17:36:00+00:00,short,1.17377,1.17415,-3.8000000000004697,AF-CAND-0264,timeout,1.17517,1.17117,False,
2025-10-06 13:12:00+00:00,2025-10-06 15:04:00+00:00,long,1.16939,1.17199,26.000000000001577,AF-CAND-0264,take_profit,1.16799,1.17199,False,
2025-10-07 14:08:00+00:00,2025-10-07 15:10:00+00:00,short,1.1657,1.1671,-14.000000000000679,AF-CAND-0264,stop_loss,1.1671,1.1631,False,
2025-10-07 16:36:00+00:00,2025-10-07 19:00:00+00:00,short,1.1674,1.16584,15.600000000000058,AF-CAND-0264,timeout,1.1688,1.1648,False,
2025-10-08 13:03:00+00:00,2025-10-08 15:27:00+00:00,short,1.1632,1.1618,14.000000000000679,AF-CAND-0264,timeout,1.1646,1.1606,False,
2025-10-08 16:03:00+00:00,2025-10-08 18:27:00+00:00,short,1.16044,1.1611,-6.6000000000010495,AF-CAND-0264,timeout,1.16184,1.15784,False,
2025-10-09 17:06:00+00:00,2025-10-09 19:30:00+00:00,short,1.15565,1.15558,0.700000000000145,AF-CAND-0264,timeout,1.15705,1.15305,False,
2025-10-10 13:34:00+00:00,2025-10-10 14:56:00+00:00,short,1.15649,1.15789,-14.000000000000679,AF-CAND-0264,stop_loss,1.15789,1.15389,False,
2025-10-13 13:42:00+00:00,2025-10-13 16:06:00+00:00,short,1.15693,1.15758,-6.500000000000394,AF-CAND-0264,timeout,1.15833,1.15433,False,
2025-10-14 15:45:00+00:00,2025-10-14 18:09:00+00:00,long,1.15944,1.16098,15.399999999998748,AF-CAND-0264,timeout,1.15804,1.16204,False,
2025-10-15 13:08:00+00:00,2025-10-15 15:32:00+00:00,long,1.16168,1.16343,17.499999999999183,AF-CAND-0264,timeout,1.16028,1.16428,False,
2025-10-15 17:07:00+00:00,2025-10-15 19:31:00+00:00,long,1.16396,1.16371,-2.500000000000835,AF-CAND-0264,timeout,1.16256,1.16656,False,
2025-10-16 14:50:00+00:00,2025-10-16 17:14:00+00:00,long,1.1673,1.16886,15.600000000000058,AF-CAND-0264,timeout,1.1659,1.1699,False,
2025-10-16 17:23:00+00:00,2025-10-16 19:47:00+00:00,long,1.16891,1.16903,1.2000000000012,AF-CAND-0264,timeout,1.16751,1.17151,False,
2025-10-17 14:56:00+00:00,2025-10-17 17:20:00+00:00,long,1.16686,1.16732,4.599999999999049,AF-CAND-0264,timeout,1.16546,1.16946,False,
2025-10-21 14:57:00+00:00,2025-10-21 17:21:00+00:00,long,1.16037,1.16069,3.20000000000098,AF-CAND-0264,timeout,1.15897,1.16297,False,
2025-10-22 13:12:00+00:00,2025-10-22 15:03:00+00:00,long,1.15868,1.16128,26.000000000001577,AF-CAND-0264,take_profit,1.15728,1.16128,False,
2025-10-22 15:15:00+00:00,2025-10-22 17:39:00+00:00,short,1.16099,1.1619,-9.099999999999664,AF-CAND-0264,timeout,1.16239,1.15839,False,
2025-10-23 13:51:00+00:00,2025-10-23 14:30:00+00:00,short,1.16049,1.16189,-14.000000000000679,AF-CAND-0264,stop_loss,1.16189,1.15789,False,
2025-10-24 16:22:00+00:00,2025-10-24 18:46:00+00:00,long,1.16274,1.16248,-2.60000000000149,AF-CAND-0264,timeout,1.16134,1.16534,False,
2025-10-28 13:55:00+00:00,2025-10-28 15:00:00+00:00,long,1.16375,1.16635,25.999999999999357,AF-CAND-0264,take_profit,1.16235,1.16635,False,
2025-10-28 16:25:00+00:00,2025-10-28 18:49:00+00:00,long,1.16608,1.1662,1.1999999999989797,AF-CAND-0264,timeout,1.16468,1.16868,False,
2025-10-29 13:30:00+00:00,2025-10-29 15:54:00+00:00,long,1.16438,1.16594,15.600000000000058,AF-CAND-0264,timeout,1.16298,1.16698,False,
2025-10-29 16:41:00+00:00,2025-10-29 18:35:00+00:00,short,1.16597,1.16337,25.999999999999357,AF-CAND-0264,take_profit,1.16737,1.16337,False,
2025-10-30 15:08:00+00:00,2025-10-30 17:32:00+00:00,long,1.15725,1.15632,-9.299999999998754,AF-CAND-0264,timeout,1.15585,1.15985,False,
2025-10-31 15:42:00+00:00,2025-10-31 15:55:00+00:00,short,1.15264,1.15404,-13.999999999998458,AF-CAND-0264,stop_loss,1.15404,1.15004,False,
2025-11-03 14:52:00+00:00,2025-11-03 15:02:00+00:00,short,1.15063,1.15203,-14.000000000000679,AF-CAND-0264,stop_loss,1.15203,1.14803,False,
2025-11-03 15:39:00+00:00,2025-11-03 15:57:00+00:00,short,1.15086,1.15226,-14.000000000000679,AF-CAND-0264,stop_loss,1.15226,1.14826,False,
2025-11-04 16:04:00+00:00,2025-11-04 18:28:00+00:00,long,1.14926,1.14819,-10.699999999999044,AF-CAND-0264,timeout,1.14786,1.15186,False,
2025-11-05 15:11:00+00:00,2025-11-05 15:30:00+00:00,short,1.1474,1.1488,-14.000000000000679,AF-CAND-0264,stop_loss,1.1488,1.1448,False,
2025-11-05 15:56:00+00:00,2025-11-05 18:20:00+00:00,long,1.14794,1.14824,2.9999999999996696,AF-CAND-0264,timeout,1.14654,1.15054,False,
2025-11-07 16:02:00+00:00,2025-11-07 18:26:00+00:00,short,1.15722,1.15733,-1.100000000000545,AF-CAND-0264,timeout,1.15862,1.15462,False,
2025-11-10 13:17:00+00:00,2025-11-10 15:30:00+00:00,long,1.1572,1.1558,-14.000000000000679,AF-CAND-0264,stop_loss,1.1558,1.1598,False,
2025-11-10 16:06:00+00:00,2025-11-10 17:55:00+00:00,short,1.15461,1.15601,-14.000000000000679,AF-CAND-0264,stop_loss,1.15601,1.15201,False,
2025-11-11 13:54:00+00:00,2025-11-11 16:18:00+00:00,short,1.15951,1.15991,-3.9999999999995595,AF-CAND-0264,timeout,1.16091,1.15691,False,
2025-11-11 17:06:00+00:00,2025-11-11 19:30:00+00:00,short,1.15916,1.15921,-0.5000000000010552,AF-CAND-0264,timeout,1.16056,1.15656,False,
2025-11-13 13:05:00+00:00,2025-11-13 15:29:00+00:00,short,1.16198,1.16306,-10.799999999999699,AF-CAND-0264,timeout,1.16338,1.15938,False,
2025-11-13 16:51:00+00:00,2025-11-13 19:15:00+00:00,short,1.16439,1.16411,2.80000000000058,AF-CAND-0264,timeout,1.16579,1.16179,False,
2025-11-14 16:57:00+00:00,2025-11-14 19:21:00+00:00,long,1.16194,1.16164,-2.9999999999996696,AF-CAND-0264,timeout,1.16054,1.16454,False,
2025-11-17 13:13:00+00:00,2025-11-17 15:37:00+00:00,short,1.15945,1.15895,5.00000000000167,AF-CAND-0264,timeout,1.16085,1.15685,False,
2025-11-19 14:30:00+00:00,2025-11-19 16:54:00+00:00,short,1.15587,1.15412,17.499999999999183,AF-CAND-0264,timeout,1.15727,1.15327,False,
2025-11-19 17:17:00+00:00,2025-11-19 19:41:00+00:00,short,1.15378,1.15251,12.700000000001044,AF-CAND-0264,timeout,1.15518,1.15118,False,
2025-11-20 14:55:00+00:00,2025-11-20 17:19:00+00:00,short,1.15387,1.15359,2.80000000000058,AF-CAND-0264,timeout,1.15527,1.15127,False,
2025-11-21 13:25:00+00:00,2025-11-21 14:25:00+00:00,long,1.15216,1.15076,-14.000000000000679,AF-CAND-0264,stop_loss,1.15076,1.15476,False,
2025-11-21 15:11:00+00:00,2025-11-21 15:38:00+00:00,long,1.15205,1.15065,-14.000000000000679,AF-CAND-0264,stop_loss,1.15065,1.15465,False,
2025-11-24 14:09:00+00:00,2025-11-24 16:33:00+00:00,short,1.15384,1.15227,15.700000000000713,AF-CAND-0264,timeout,1.15524,1.15124,False,
2025-11-24 16:44:00+00:00,2025-11-24 17:06:00+00:00,long,1.15251,1.15111,-13.999999999998458,AF-CAND-0264,stop_loss,1.15111,1.15511,False,
2025-11-26 17:29:00+00:00,2025-11-26 19:53:00+00:00,long,1.15887,1.15934,4.699999999999704,AF-CAND-0264,timeout,1.15747,1.16147,False,
2025-11-28 14:12:00+00:00,2025-11-28 16:36:00+00:00,long,1.15811,1.15976,16.499999999999293,AF-CAND-0264,timeout,1.15671,1.16071,False,
2025-12-01 16:07:00+00:00,2025-12-01 17:51:00+00:00,long,1.16326,1.16186,-14.000000000000679,AF-CAND-0264,stop_loss,1.16186,1.16586,False,
2025-12-02 13:00:00+00:00,2025-12-02 15:24:00+00:00,short,1.16171,1.15976,19.500000000001183,AF-CAND-0264,timeout,1.16311,1.15911,False,
2025-12-02 15:57:00+00:00,2025-12-02 18:21:00+00:00,short,1.16035,1.1613,-9.500000000000064,AF-CAND-0264,timeout,1.16175,1.15775,False,
2025-12-03 15:03:00+00:00,2025-12-03 17:27:00+00:00,short,1.16572,1.16641,-6.899999999998574,AF-CAND-0264,timeout,1.16712,1.16312,False,
2025-12-04 17:29:00+00:00,2025-12-04 19:53:00+00:00,long,1.16577,1.16521,-5.599999999998939,AF-CAND-0264,timeout,1.16437,1.16837,False,
2025-12-05 15:09:00+00:00,2025-12-05 15:34:00+00:00,short,1.16456,1.16596,-14.000000000000679,AF-CAND-0264,stop_loss,1.16596,1.16196,False,
2025-12-05 16:27:00+00:00,2025-12-05 18:51:00+00:00,long,1.16334,1.16427,9.299999999998754,AF-CAND-0264,timeout,1.16194,1.16594,False,
2025-12-08 15:14:00+00:00,2025-12-08 17:38:00+00:00,short,1.16328,1.16252,7.600000000000939,AF-CAND-0264,timeout,1.16468,1.16068,False,
2025-12-09 13:24:00+00:00,2025-12-09 15:48:00+00:00,short,1.16343,1.16263,7.999999999999119,AF-CAND-0264,timeout,1.16483,1.16083,False,
2025-12-10 16:09:00+00:00,2025-12-10 18:33:00+00:00,long,1.16428,1.16594,16.599999999999948,AF-CAND-0264,timeout,1.16288,1.16688,False,
2025-12-12 17:34:00+00:00,2025-12-12 19:58:00+00:00,long,1.17428,1.17395,-3.2999999999994145,AF-CAND-0264,timeout,1.17288,1.17688,False,
2025-12-15 15:38:00+00:00,2025-12-15 18:02:00+00:00,short,1.17588,1.17451,13.700000000000934,AF-CAND-0264,timeout,1.17728,1.17328,False,
2025-12-16 14:10:00+00:00,2025-12-16 16:07:00+00:00,long,1.17775,1.17635,-14.000000000000679,AF-CAND-0264,stop_loss,1.17635,1.18035,False,
2025-12-17 15:57:00+00:00,2025-12-17 18:21:00+00:00,short,1.17499,1.17487,1.1999999999989797,AF-CAND-0264,timeout,1.17639,1.17239,False,
2025-12-18 13:41:00+00:00,2025-12-18 15:17:00+00:00,long,1.17424,1.17284,-13.999999999998458,AF-CAND-0264,stop_loss,1.17284,1.17684,False,
2025-12-18 16:38:00+00:00,2025-12-18 19:02:00+00:00,short,1.17328,1.17191,13.700000000000934,AF-CAND-0264,timeout,1.17468,1.17068,False,
2025-12-19 13:04:00+00:00,2025-12-19 14:01:00+00:00,short,1.17085,1.17225,-14.000000000000679,AF-CAND-0264,stop_loss,1.17225,1.16825,False,
2025-12-19 15:10:00+00:00,2025-12-19 17:34:00+00:00,short,1.17251,1.17187,6.399999999999739,AF-CAND-0264,timeout,1.17391,1.16991,False,
2025-12-22 14:45:00+00:00,2025-12-22 16:48:00+00:00,long,1.17647,1.17507,-13.999999999998458,AF-CAND-0264,stop_loss,1.17507,1.17907,False,
2025-12-23 13:12:00+00:00,2025-12-23 15:36:00+00:00,short,1.1786,1.17738,12.199999999999989,AF-CAND-0264,timeout,1.18,1.176,False,
2025-12-23 16:25:00+00:00,2025-12-23 18:49:00+00:00,short,1.17748,1.17794,-4.599999999999049,AF-CAND-0264,timeout,1.17888,1.17488,False,
2025-12-24 13:02:00+00:00,2025-12-24 15:26:00+00:00,long,1.17882,1.17786,-9.600000000000719,AF-CAND-0264,timeout,1.17742,1.18142,False,
