expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
0,0,short,2025-10-01T16:16:00Z,2025-10-01T16:16:00Z,2025-10-01T17:00:00Z,2025-10-01T17:00:40Z,1.17365,1.17365,1.17205,1.17205,16.0,16.0,take_profit,take_profit,True,1.17445,1.17445,1.17205,1.17205,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
2,1,short,2025-10-03T15:22:00Z,2025-10-03T15:22:00Z,2025-10-03T17:04:00Z,2025-10-03T17:04:00Z,1.17473,1.17473,1.17476,1.17477,-0.3,-0.4,timeout,timeout,True,1.17553,1.17553,1.17313,1.17313,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
3,2,long,2025-10-06T14:12:00Z,2025-10-06T14:12:00Z,2025-10-06T14:32:00Z,2025-10-06T14:32:40Z,1.16931,1.16932,1.16851,1.16852,-8.0,-8.0,stop_loss,stop_loss,True,1.16851,1.16852,1.17091,1.17092,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
5,4,short,2025-10-07T17:36:00Z,2025-10-07T17:36:00Z,2025-10-07T19:18:00Z,2025-10-07T19:18:00Z,1.16749,1.16749,1.1666,1.16661,8.9,8.8,timeout,timeout,True,1.16829,1.16829,1.16589,1.16589,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
6,5,short,2025-10-08T14:03:00Z,2025-10-08T14:03:00Z,2025-10-08T14:15:00Z,2025-10-08T14:15:40Z,1.16329,1.16329,1.16409,1.16409,-8.0,-8.0,stop_loss,stop_loss,True,1.16409,1.16409,1.16169,1.16169,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
7,6,short,2025-10-08T17:03:00Z,2025-10-08T17:03:00Z,2025-10-08T18:45:00Z,2025-10-08T18:45:00Z,1.16053,1.16053,1.16084,1.16085,-3.1,-3.2,timeout,timeout,True,1.16133,1.16133,1.15893,1.15893,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
8,7,long,2025-10-10T14:45:00Z,2025-10-10T14:45:00Z,2025-10-10T16:00:00Z,2025-10-10T16:00:40Z,1.15673,1.15674,1.15833,1.15834,16.0,16.0,take_profit,take_profit,True,1.15593,1.15594,1.15833,1.15834,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
9,8,long,2025-10-13T16:45:00Z,2025-10-13T16:45:00Z,2025-10-13T18:27:00Z,2025-10-13T18:27:00Z,1.1571,1.15711,1.15749,1.15749,3.9,3.8,timeout,timeout,True,1.1563,1.15631,1.1587,1.15871,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
10,9,long,2025-10-14T16:45:00Z,2025-10-14T16:45:00Z,2025-10-14T17:00:00Z,2025-10-14T17:00:40Z,1.15938,1.15939,1.16098,1.16099,16.0,16.0,take_profit,take_profit,True,1.15858,1.15859,1.16098,1.16099,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
11,10,long,2025-10-14T17:39:00Z,2025-10-14T17:39:00Z,2025-10-14T19:21:00Z,2025-10-14T19:21:00Z,1.1607,1.16071,1.16055,1.16055,-1.5,-1.6,timeout,timeout,True,1.1599,1.15991,1.1623,1.16231,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
13,11,long,2025-10-15T15:56:00Z,2025-10-15T15:56:00Z,2025-10-15T16:41:00Z,2025-10-15T16:41:40Z,1.16239,1.1624,1.16399,1.164,16.0,16.0,take_profit,take_profit,True,1.16159,1.1616,1.16399,1.164,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
14,12,long,2025-10-16T15:50:00Z,2025-10-16T15:50:00Z,2025-10-16T16:50:00Z,2025-10-16T16:50:40Z,1.1672,1.16721,1.1664,1.16641,-8.0,-8.0,stop_loss,stop_loss,True,1.1664,1.16641,1.1688,1.16881,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
15,13,short,2025-10-16T17:40:00Z,2025-10-16T17:40:00Z,2025-10-16T18:06:00Z,2025-10-16T18:06:40Z,1.16731,1.16731,1.16811,1.16811,-8.0,-8.0,stop_loss,stop_loss,True,1.16811,1.16811,1.16571,1.16571,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
16,14,long,2025-10-17T15:56:00Z,2025-10-17T15:56:00Z,2025-10-17T17:38:00Z,2025-10-17T17:38:00Z,1.16679,1.1668,1.16777,1.16777,9.8,9.7,timeout,timeout,True,1.16599,1.166,1.16839,1.1684,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
