window_id,start_broker,end_broker,side,expected_exit_reason,actual_exit_reason,expected_exit_utc,actual_exit_utc,likely_cause,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price
breach-01,2026.01.14 14:56:40,2026.01.14 16:58:00,short,timeout,stop_loss,2026-01-14T15:56:00Z,2026-01-14T13:58:40Z,timeout_rule_mismatch,1.16601,1.16601,1.16201,1.16201
breach-02,2026.03.06 20:18:00,2026.03.06 20:42:00,long,take_profit,timeout,2026-03-06T19:20:00Z,2026-03-06T19:40:00Z,timeout_rule_mismatch,1.15814,1.15815,1.16214,1.16215
breach-03,2025.12.01 19:50:20,2025.12.01 20:22:00,long,stop_loss,stop_loss,2025-12-01T19:20:00Z,2025-12-01T18:52:20Z,timeout_or_bar_close_drift,1.16178,1.16179,1.16578,1.16579
breach-04,2026.03.16 16:45:40,2026.03.16 16:52:00,short,stop_loss,stop_loss,2026-03-16T15:50:00Z,2026-03-16T15:47:40Z,timeout_or_bar_close_drift,1.14932,1.14932,1.14532,1.14532
