timestamp_utc,exit_timestamp_utc,side,entry_price,exit_price,pnl_pips,candidate_id
2025-10-01 14:10:00+00:00,2025-10-01 14:22:00+00:00,short,1.17507,1.17362,14.499999999999513,AF-CAND-0238
2025-10-01 14:36:00+00:00,2025-10-01 14:46:00+00:00,long,1.17533,1.17463,-6.999999999999229,AF-CAND-0238
2025-10-01 15:08:00+00:00,2025-10-01 15:20:00+00:00,short,1.17383,1.17238,14.499999999999513,AF-CAND-0238
2025-10-01 15:39:00+00:00,2025-10-01 15:51:00+00:00,long,1.17307,1.1723700000000001,-6.999999999999229,AF-CAND-0238
2025-10-01 15:59:00+00:00,2025-10-01 16:53:00+00:00,short,1.17241,1.17221,1.9999999999997797,AF-CAND-0238
2025-10-02 14:37:00+00:00,2025-10-02 14:40:00+00:00,long,1.17172,1.1710200000000002,-6.999999999999229,AF-CAND-0238
2025-10-02 15:20:00+00:00,2025-10-02 16:06:00+00:00,short,1.16951,1.17021,-6.999999999999229,AF-CAND-0238
2025-10-03 14:19:00+00:00,2025-10-03 15:13:00+00:00,short,1.17449,1.17397,5.20000000000076,AF-CAND-0238
2025-10-03 15:50:00+00:00,2025-10-03 15:56:00+00:00,short,1.17415,1.17485,-6.999999999999229,AF-CAND-0238
2025-10-03 15:58:00+00:00,2025-10-03 16:14:00+00:00,long,1.17478,1.17408,-6.999999999999229,AF-CAND-0238
2025-10-06 14:12:00+00:00,2025-10-06 14:16:00+00:00,long,1.1705,1.1698000000000002,-6.999999999999229,AF-CAND-0238
2025-10-06 15:00:00+00:00,2025-10-06 15:22:00+00:00,long,1.17174,1.17104,-6.999999999999229,AF-CAND-0238
2025-10-07 14:00:00+00:00,2025-10-07 14:54:00+00:00,short,1.16594,1.16595,-0.10000000000065512,AF-CAND-0238
2025-10-07 15:23:00+00:00,2025-10-07 16:17:00+00:00,long,1.16747,1.1677,2.2999999999995246,AF-CAND-0238
2025-10-08 14:59:00+00:00,2025-10-08 15:52:00+00:00,short,1.16227,1.16082,14.499999999999513,AF-CAND-0238
2025-10-08 16:04:00+00:00,2025-10-08 16:58:00+00:00,short,1.16039,1.16051,-1.1999999999989797,AF-CAND-0238
2025-10-09 14:12:00+00:00,2025-10-09 14:17:00+00:00,short,1.15937,1.16007,-6.999999999999229,AF-CAND-0238
2025-10-09 14:21:00+00:00,2025-10-09 14:27:00+00:00,short,1.15939,1.15794,14.499999999999513,AF-CAND-0238
2025-10-09 14:30:00+00:00,2025-10-09 14:51:00+00:00,short,1.15793,1.1586299999999998,-6.999999999999229,AF-CAND-0238
2025-10-09 15:11:00+00:00,2025-10-09 15:17:00+00:00,short,1.1567,1.1574,-6.999999999999229,AF-CAND-0238
2025-10-09 15:27:00+00:00,2025-10-09 15:41:00+00:00,short,1.15637,1.15492,14.499999999999513,AF-CAND-0238
2025-10-09 15:44:00+00:00,2025-10-09 15:52:00+00:00,short,1.15503,1.15573,-6.999999999999229,AF-CAND-0238
2025-10-09 15:55:00+00:00,2025-10-09 16:49:00+00:00,long,1.15567,1.15576,0.8999999999992347,AF-CAND-0238
2025-10-09 16:53:00+00:00,2025-10-09 16:57:00+00:00,long,1.15595,1.15525,-6.999999999999229,AF-CAND-0238
2025-10-10 14:44:00+00:00,2025-10-10 15:02:00+00:00,long,1.15745,1.1589,14.499999999999513,AF-CAND-0238
2025-10-10 15:11:00+00:00,2025-10-10 15:12:00+00:00,long,1.16118,1.1604800000000002,-6.999999999999229,AF-CAND-0238
2025-10-10 15:24:00+00:00,2025-10-10 15:51:00+00:00,long,1.16171,1.16101,-6.999999999999229,AF-CAND-0238
2025-10-10 16:09:00+00:00,2025-10-10 16:18:00+00:00,long,1.16212,1.1614200000000001,-6.999999999999229,AF-CAND-0238
2025-10-10 16:22:00+00:00,2025-10-10 17:16:00+00:00,short,1.16114,1.16011,10.300000000000864,AF-CAND-0238
2025-10-13 14:17:00+00:00,2025-10-13 15:11:00+00:00,short,1.15654,1.15628,2.5999999999992696,AF-CAND-0238
2025-10-13 15:13:00+00:00,2025-10-13 16:07:00+00:00,long,1.15664,1.15754,9.00000000000123,AF-CAND-0238
2025-10-14 14:07:00+00:00,2025-10-14 14:10:00+00:00,short,1.15707,1.15777,-6.999999999999229,AF-CAND-0238
2025-10-14 14:17:00+00:00,2025-10-14 14:46:00+00:00,long,1.15771,1.15916,14.499999999999513,AF-CAND-0238
2025-10-14 15:37:00+00:00,2025-10-14 16:00:00+00:00,long,1.15935,1.1608,14.499999999999513,AF-CAND-0238
2025-10-14 16:05:00+00:00,2025-10-14 16:10:00+00:00,long,1.16093,1.16023,-6.999999999999229,AF-CAND-0238
2025-10-14 16:29:00+00:00,2025-10-14 16:39:00+00:00,short,1.16042,1.16112,-6.999999999999229,AF-CAND-0238
2025-10-14 16:42:00+00:00,2025-10-14 17:09:00+00:00,long,1.16121,1.1605100000000002,-6.999999999999229,AF-CAND-0238
2025-10-15 14:08:00+00:00,2025-10-15 15:02:00+00:00,short,1.16226,1.16238,-1.1999999999989797,AF-CAND-0238
2025-10-15 15:47:00+00:00,2025-10-15 15:48:00+00:00,long,1.1646,1.1639000000000002,-6.999999999999229,AF-CAND-0238
2025-10-15 15:56:00+00:00,2025-10-15 16:36:00+00:00,short,1.16327,1.16397,-6.999999999999229,AF-CAND-0238
2025-10-16 16:07:00+00:00,2025-10-16 17:01:00+00:00,long,1.16708,1.16763,5.5000000000005045,AF-CAND-0238
2025-10-17 14:10:00+00:00,2025-10-17 14:28:00+00:00,short,1.16622,1.16692,-6.999999999999229,AF-CAND-0238
