expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
0,1,long,2025-10-01T13:21:00Z,2025-10-01T13:22:00Z,2025-10-01T13:27:00Z,2025-10-01T13:24:40Z,1.17592,1.17618,1.17482,1.17508,-11.0,-11.0,stop_loss,stop_loss,True,1.17482,1.17508,1.17832,1.17858,False,False,True,,2.6,2.6,0.0,140.0,True,True,False,True,False,False,True,exit_timing_and_price_drift
1,2,short,2025-10-01T13:36:00Z,2025-10-01T13:36:00Z,2025-10-01T15:48:00Z,2025-10-01T15:48:00Z,1.17535,1.17535,1.17388,1.17389,14.7,14.6,timeout,timeout,True,1.17645,1.17645,1.17295,1.17295,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
2,3,short,2025-10-01T16:08:00Z,2025-10-01T16:08:00Z,2025-10-01T18:20:00Z,2025-10-01T18:20:00Z,1.17391,1.17391,1.17285,1.17286,10.6,10.5,timeout,timeout,True,1.17501,1.17501,1.17151,1.17151,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
4,4,long,2025-10-02T14:27:00Z,2025-10-02T14:27:00Z,2025-10-02T14:42:00Z,2025-10-02T14:41:40Z,1.17395,1.17396,1.17285,1.17286,-11.0,-11.0,stop_loss,stop_loss,True,1.17285,1.17286,1.17635,1.17636,False,False,True,,0.1,0.1,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
6,6,short,2025-10-02T16:20:00Z,2025-10-02T16:20:00Z,2025-10-02T17:17:00Z,2025-10-02T17:17:40Z,1.1696,1.1696,1.1707,1.1707,-11.0,-11.0,stop_loss,stop_loss,True,1.1707,1.1707,1.1672,1.1672,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
7,7,long,2025-10-03T13:54:00Z,2025-10-03T13:54:00Z,2025-10-03T16:06:00Z,2025-10-03T16:06:00Z,1.17367,1.17368,1.17412,1.17412,4.5,4.4,timeout,timeout,True,1.17257,1.17258,1.17607,1.17608,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
8,8,short,2025-10-03T16:49:00Z,2025-10-03T16:49:00Z,2025-10-03T19:01:00Z,2025-10-03T19:01:00Z,1.17433,1.17433,1.1732,1.1732,11.3,11.3,timeout,timeout,True,1.17543,1.17543,1.17193,1.17193,False,False,True,,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
9,9,long,2025-10-06T13:09:00Z,2025-10-06T13:10:00Z,2025-10-06T14:55:00Z,2025-10-06T14:55:40Z,1.16785,1.1678,1.17025,1.1702,24.0,24.0,take_profit,take_profit,True,1.16675,1.1667,1.17025,1.1702,False,False,True,,0.5,0.5,0.0,40.0,True,True,False,False,False,False,True,entry_price_drift
10,10,long,2025-10-06T15:13:00Z,2025-10-06T15:13:00Z,2025-10-06T17:25:00Z,2025-10-06T17:25:00Z,1.17037,1.17038,1.17049,1.17049,1.2,1.1,timeout,timeout,True,1.16927,1.16928,1.17277,1.17278,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
12,12,long,2025-10-07T16:23:00Z,2025-10-07T16:23:00Z,2025-10-07T18:35:00Z,2025-10-07T18:35:00Z,1.16739,1.1674,1.16726,1.16726,-1.3,-1.4,timeout,timeout,True,1.16629,1.1663,1.16979,1.1698,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
