window_id,start_broker,end_broker,side,expected_exit_reason,actual_exit_reason,expected_exit_utc,actual_exit_utc,likely_cause,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price
breach-01,2026.03.06 20:18:00,2026.03.06 20:42:00,long,take_profit,timeout,2026-03-06T19:20:00Z,2026-03-06T19:40:00Z,timeout_rule_mismatch,1.15834,1.15835,1.16214,1.16215
breach-02,2025.10.13 15:49:20,2025.10.13 17:31:00,long,stop_loss,stop_loss,2025-10-13T15:29:00Z,2025-10-13T13:51:20Z,timeout_or_bar_close_drift,1.15615,1.15616,1.15995,1.15996
breach-03,2025.10.08 21:14:40,2025.10.08 21:29:00,short,timeout,stop_loss,2025-10-08T19:27:00Z,2025-10-08T19:16:40Z,timeout_rule_mismatch,1.16173,1.16173,1.15793,1.15793
breach-04,2026.01.23 17:46:40,2026.01.23 17:53:00,short,stop_loss,stop_loss,2026-01-23T16:51:00Z,2026-01-23T16:48:40Z,timeout_or_bar_close_drift,1.17555,1.17555,1.17175,1.17175
