expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
0,1,long,2025-10-01T13:21:00Z,2025-10-01T13:21:00Z,2025-10-01T13:27:00Z,2025-10-01T13:27:20Z,1.17592,1.17593,1.17492,1.17493,-10.0,-10.0,stop_loss,stop_loss,True,1.17492,1.17493,1.17832,1.17833,False,False,True,,0.1,0.1,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
4,3,short,2025-10-01T15:16:00Z,2025-10-01T15:16:00Z,2025-10-01T15:33:00Z,2025-10-01T15:32:40Z,1.17437,1.17437,1.17537,1.17537,-10.0,-10.0,stop_loss,stop_loss,True,1.17537,1.17537,1.17197,1.17197,False,False,True,,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
6,4,short,2025-10-01T16:08:00Z,2025-10-01T16:08:00Z,2025-10-01T18:14:00Z,2025-10-01T18:14:00Z,1.17391,1.17391,1.17265,1.17266,12.6,12.5,timeout,timeout,True,1.17491,1.17491,1.17151,1.17151,False,False,True,,0.0,0.1,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
7,5,long,2025-10-02T13:07:00Z,2025-10-02T13:07:00Z,2025-10-02T13:37:00Z,2025-10-02T13:35:40Z,1.1756,1.17561,1.1746,1.17461,-10.0,-10.0,stop_loss,stop_loss,True,1.1746,1.17461,1.178,1.17801,False,False,True,,0.1,0.1,0.0,80.0,False,False,False,False,False,False,False,within_tolerance
8,6,long,2025-10-02T14:27:00Z,2025-10-02T14:27:00Z,2025-10-02T14:41:00Z,2025-10-02T14:41:40Z,1.17395,1.17396,1.17295,1.17296,-10.0,-10.0,stop_loss,stop_loss,True,1.17295,1.17296,1.17635,1.17636,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
9,7,short,2025-10-02T14:46:00Z,2025-10-02T14:46:00Z,2025-10-02T16:14:00Z,2025-10-02T16:14:40Z,1.17279,1.17279,1.17039,1.17039,24.0,24.0,take_profit,take_profit,True,1.17379,1.17379,1.17039,1.17039,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
10,8,short,2025-10-02T16:20:00Z,2025-10-02T16:20:00Z,2025-10-02T17:16:00Z,2025-10-02T17:16:40Z,1.1696,1.1696,1.1706,1.1706,-10.0,-10.0,stop_loss,stop_loss,True,1.1706,1.1706,1.1672,1.1672,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
11,9,long,2025-10-03T13:54:00Z,2025-10-03T13:54:00Z,2025-10-03T16:00:00Z,2025-10-03T16:00:00Z,1.17367,1.17368,1.17411,1.17411,4.4,4.3,timeout,timeout,True,1.17267,1.17268,1.17607,1.17608,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
13,11,long,2025-10-06T13:09:00Z,2025-10-06T13:09:00Z,2025-10-06T14:55:00Z,2025-10-06T14:55:40Z,1.16785,1.16786,1.17025,1.17026,24.0,24.0,take_profit,take_profit,True,1.16685,1.16686,1.17025,1.17026,False,False,True,,0.1,0.1,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
14,12,long,2025-10-06T15:12:00Z,2025-10-06T15:13:00Z,2025-10-06T17:18:00Z,2025-10-06T17:19:00Z,1.17042,1.17038,1.17061,1.17046,1.9,0.8,timeout,timeout,True,1.16942,1.16938,1.17282,1.17278,False,False,True,,0.4,1.5,1.1,60.0,True,True,True,False,False,False,True,pnl_fill_drift
16,14,long,2025-10-07T16:23:00Z,2025-10-07T16:23:00Z,2025-10-07T18:29:00Z,2025-10-07T18:29:00Z,1.16739,1.1674,1.16739,1.16739,0.0,-0.1,timeout,timeout,True,1.16639,1.1664,1.16979,1.1698,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
17,15,long,2025-10-08T13:17:00Z,2025-10-08T13:17:00Z,2025-10-08T15:23:00Z,2025-10-08T15:23:00Z,1.16321,1.16322,1.1633,1.1633,0.9,0.8,timeout,timeout,True,1.16221,1.16222,1.16561,1.16562,False,False,True,,0.1,0.0,0.1,0.0,False,False,False,False,False,False,False,within_tolerance
18,16,short,2025-10-08T15:59:00Z,2025-10-08T15:59:00Z,2025-10-08T17:30:00Z,2025-10-08T17:30:40Z,1.16235,1.16235,1.15995,1.15995,24.0,24.0,take_profit,take_profit,True,1.16335,1.16335,1.15995,1.15995,False,False,True,,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
