window_id,start_broker,end_broker,side,expected_exit_reason,actual_exit_reason,expected_exit_utc,actual_exit_utc,likely_cause,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price
breach-01,2026.03.06 20:18:00,2026.03.06 20:42:00,long,take_profit,timeout,2026-03-06T19:20:00Z,2026-03-06T19:40:00Z,timeout_rule_mismatch,1.15834,1.15835,1.16214,1.16215
breach-02,2026.03.18 14:51:00,2026.03.18 14:59:40,short,stop_loss,stop_loss,2026-03-18T13:53:00Z,2026-03-18T13:57:40Z,timeout_or_bar_close_drift,1.15486,1.15486,1.15106,1.15106
breach-03,2025.10.06 17:44:00,2025.10.06 17:50:40,long,take_profit,take_profit,2025-10-06T15:46:00Z,2025-10-06T15:48:40Z,timeout_or_bar_close_drift,1.16708,1.16709,1.17088,1.17089
breach-04,2025.12.05 17:33:00,2025.12.05 17:39:20,short,stop_loss,stop_loss,2025-12-05T16:35:00Z,2025-12-05T16:37:20Z,timeout_or_bar_close_drift,1.1659,1.1659,1.1621,1.1621
