timestamp_utc,side,entry_price,exit_price,pnl_pips
2026-02-02 06:00:00+00:00,long,1.185265,1.18453,-4.2
2026-02-02 06:34:00+00:00,long,1.1851,1.185315,0.5350000000005942
2026-02-02 07:01:00+00:00,long,1.185625,1.1862750000000002,4.827500000003226
2026-02-02 07:29:00+00:00,long,1.186295,1.18594,-4.2
2026-02-02 07:56:00+00:00,long,1.18582,1.1861700000000002,1.8458333333346693
2026-02-02 08:26:00+00:00,short,1.185925,1.18526,5.028750000001205
2026-02-02 08:53:00+00:00,short,1.18543,1.185275,-0.0537499999988865
2026-02-02 09:20:00+00:00,short,1.18489,1.185565,-4.2
2026-02-02 09:47:00+00:00,long,1.1859799999999998,1.1868949999999998,7.4
2026-02-02 11:11:00+00:00,short,1.1863,1.187135,-4.2
2026-02-02 11:39:00+00:00,short,1.18649,1.18618,1.3245833333347334
2026-02-02 12:08:00+00:00,short,1.1859700000000002,1.1854,4.142916666668647
2026-02-02 12:35:00+00:00,short,1.1850649999999998,1.184625,2.5287499999981597
2026-02-03 07:13:00+00:00,long,1.18172,1.18208,1.8270833333357863
2026-02-03 08:13:00+00:00,short,1.181095,1.1809349999999998,-0.163333333331772
2026-02-03 08:40:00+00:00,long,1.180895,1.180975,-0.7549999999990398
2026-02-03 09:11:00+00:00,short,1.180845,1.1802899999999998,3.841666666670004
2026-02-03 09:43:00+00:00,short,1.18006,1.1797,1.9354166666675627
2026-02-03 10:36:00+00:00,short,1.178935,1.17828,4.924583333333893
2026-02-03 11:05:00+00:00,long,1.17915,1.179055,-2.676666666665944
2026-02-03 11:33:00+00:00,long,1.17945,1.178715,-4.2
2026-02-04 08:13:00+00:00,long,1.1835,1.1826150000000002,-4.2
2026-02-04 08:54:00+00:00,long,1.182845,1.18284,-1.7616666666644836
2026-02-04 09:37:00+00:00,short,1.181655,1.18169,-2.164166666667102
2026-02-04 10:06:00+00:00,short,1.181495,1.1809150000000002,4.04333333333133
2026-02-04 10:50:00+00:00,long,1.1812550000000002,1.180795,-4.2
2026-02-05 07:00:00+00:00,long,1.1795,1.17973,0.6241666666668181
2026-02-05 07:45:00+00:00,long,1.18012,1.18064,3.52749999999916
2026-02-05 08:59:00+00:00,long,1.180295,1.178705,-4.2
2026-02-05 09:26:00+00:00,short,1.17868,1.17835,1.6404166666656024
2026-02-05 12:19:00+00:00,short,1.17881,1.1797300000000002,-4.2
2026-02-05 12:46:00+00:00,long,1.180265,1.1796099999999998,-4.2
2026-02-06 08:26:00+00:00,short,1.17888,1.17899,-2.758333333334358
2026-02-09 06:00:00+00:00,long,1.184505,1.18434,-3.3075000000020878
2026-02-09 06:49:00+00:00,long,1.18575,1.18518,-4.2
2026-02-09 07:22:00+00:00,short,1.184955,1.18558,-4.2
2026-02-09 08:00:00+00:00,long,1.1858050000000002,1.1855600000000002,-4.167083333333558
2026-02-09 08:27:00+00:00,short,1.18542,1.1860849999999998,-4.2
2026-02-09 08:57:00+00:00,long,1.186265,1.186525,0.9379166666654504
2026-02-09 10:25:00+00:00,short,1.1864150000000002,1.185775,4.627500000001926
2026-02-09 12:00:00+00:00,long,1.187275,1.187735,2.832499999999011
2026-02-10 07:15:00+00:00,long,1.19067,1.190315,-4.2
2026-02-10 08:14:00+00:00,short,1.190525,1.191365,-4.2
2026-02-10 12:49:00+00:00,short,1.189435,1.189315,-0.3537500000008612
2026-02-11 06:15:00+00:00,short,1.191935,1.191395,3.830833333332242
2026-02-11 07:20:00+00:00,long,1.19144,1.19159,-0.1616666666651037
2026-02-11 07:57:00+00:00,long,1.19164,1.191585,-2.16583333333377
2026-02-11 10:52:00+00:00,long,1.192275,1.191465,-4.2
2026-02-12 06:28:00+00:00,short,1.1858300000000002,1.18626,-4.2
2026-02-12 10:04:00+00:00,short,1.1881750000000002,1.1881050000000002,-1.0687499999998833
2026-02-13 07:30:00+00:00,short,1.18479,1.1859700000000002,-4.2
2026-02-13 11:01:00+00:00,long,1.18581,1.185705,-2.6570833333348234
2026-02-16 08:19:00+00:00,long,1.186805,1.18649,-4.2
2026-02-16 08:46:00+00:00,long,1.186475,1.1867649999999998,1.2449999999985195
2026-02-17 07:16:00+00:00,short,1.1837650000000002,1.183385,2.0433333333359918
2026-02-17 08:03:00+00:00,short,1.1830850000000002,1.18375,-4.2
2026-02-17 11:56:00+00:00,short,1.18256,1.1832349999999998,-4.2
2026-02-19 09:03:00+00:00,long,1.1802899999999998,1.180135,-3.2516666666654275
2026-02-19 12:36:00+00:00,short,1.17727,1.1764450000000002,6.537083333332161
2026-02-20 07:44:00+00:00,short,1.17575,1.174405,7.4
2026-02-20 08:16:00+00:00,long,1.175175,1.17599,6.339166666668629
2026-02-20 08:43:00+00:00,short,1.175905,1.17611,-3.6579166666680423
2026-02-20 12:57:00+00:00,short,1.1766549999999998,1.1769349999999998,-4.2
2026-02-23 08:11:00+00:00,short,1.181925,1.1811250000000002,6.336666666666411
2026-02-23 08:41:00+00:00,short,1.18119,1.181015,0.1466666666679736
2026-02-23 09:31:00+00:00,long,1.181065,1.18009,-4.2
2026-02-23 12:59:00+00:00,long,1.1781899999999998,1.178765,4.147083333335322
2026-02-24 07:06:00+00:00,short,1.177515,1.177795,-4.2
2026-02-24 07:33:00+00:00,long,1.1781,1.177915,-3.469583333334512
2026-02-24 08:16:00+00:00,long,1.1780499999999998,1.1786850000000002,4.628750000004145
2026-02-25 08:01:00+00:00,short,1.179685,1.1791550000000002,3.630833333333152
2026-02-25 09:44:00+00:00,short,1.178655,1.178605,-1.1600000000016653
2026-02-26 08:08:00+00:00,short,1.180495,1.180675,-3.352499999997192
2026-02-27 07:45:00+00:00,long,1.18173,1.18189,-0.0866666666644366
2026-02-27 08:13:00+00:00,short,1.181565,1.18138,0.2416666666675135
2026-02-27 09:59:00+00:00,short,1.179525,1.180275,-4.2
2026-03-02 06:05:00+00:00,short,1.176055,1.174095,7.4
2026-03-02 06:32:00+00:00,short,1.174055,1.17327,6.243333333334632
2026-03-02 07:02:00+00:00,short,1.1730550000000002,1.172345,5.436666666668278
2026-03-02 07:31:00+00:00,long,1.17266,1.1714449999999998,-4.2
2026-03-02 07:59:00+00:00,long,1.1716449999999998,1.1705549999999998,-4.2
2026-03-02 08:26:00+00:00,short,1.17038,1.172285,-4.2
2026-03-02 08:53:00+00:00,long,1.172355,1.17415,7.4
2026-03-02 09:21:00+00:00,long,1.17406,1.173785,-4.2
2026-03-02 09:53:00+00:00,short,1.173455,1.174325,-4.2
2026-03-02 10:39:00+00:00,short,1.17432,1.17366,4.8462500000021285
2026-03-02 11:58:00+00:00,short,1.1732399999999998,1.17209,7.4
2026-03-02 12:44:00+00:00,short,1.1713749999999998,1.169835,7.4
2026-03-03 07:02:00+00:00,short,1.16623,1.1656149999999998,4.617083333337476
2026-03-03 07:29:00+00:00,short,1.16573,1.1648,7.4
2026-03-03 07:56:00+00:00,short,1.164635,1.16322,7.4
2026-03-03 08:24:00+00:00,short,1.163085,1.162025,7.4
2026-03-03 08:52:00+00:00,short,1.161905,1.16223,-4.2
2026-03-03 09:22:00+00:00,short,1.161625,1.160075,7.4
2026-03-03 09:49:00+00:00,short,1.16008,1.1603,-3.855416666666025
2026-03-03 10:18:00+00:00,short,1.1601,1.159915,0.041249999999543
2026-03-03 10:49:00+00:00,long,1.16046,1.1587550000000002,-4.2
2026-03-03 11:17:00+00:00,short,1.15832,1.15945,-4.2
2026-03-03 11:44:00+00:00,long,1.1594600000000002,1.16004,4.039166666664655
2026-03-03 12:11:00+00:00,long,1.160255,1.161,5.819166666666463
2026-03-03 12:46:00+00:00,long,1.160875,1.16064,-4.064583333332895
2026-03-04 06:01:00+00:00,short,1.15923,1.16057,-4.2
2026-03-04 06:33:00+00:00,long,1.161225,1.16108,-3.1666666666647783
2026-03-04 07:05:00+00:00,long,1.16175,1.16281,7.4
2026-03-04 07:33:00+00:00,long,1.162465,1.1615950000000002,-4.2
