timestamp_utc,candidate_id,run_id,signal,spread_pips,bars_processed
2025.10.01 08:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,596
2025.10.01 08:03:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,599
2025.10.01 08:22:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,618
2025.10.01 08:43:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,639
2025.10.01 08:54:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,650
2025.10.01 10:09:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,725
2025.10.01 11:21:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,797
2025.10.01 11:51:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,827
2025.10.01 11:56:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,832
2025.10.01 12:08:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,844
2025.10.01 13:16:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,912
2025.10.02 08:00:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,2030
2025.10.02 10:36:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,2186
2025.10.02 13:07:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,2337
2025.10.02 13:26:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,2356
2025.10.03 08:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,3464
2025.10.03 10:46:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,3629
2025.10.03 12:13:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,3716
2025.10.03 12:36:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,3739
2025.10.03 12:58:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,3761
2025.10.06 08:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,4897
2025.10.06 08:06:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,4902
2025.10.06 08:42:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,4938
2025.10.06 09:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,4957
2025.10.06 09:30:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,4986
2025.10.06 10:10:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,5026
2025.10.06 10:38:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,5054
2025.10.06 10:44:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,5060
2025.10.06 10:56:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,5072
2025.10.06 11:06:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,5082
2025.10.06 12:15:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,5151
2025.10.07 08:02:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,6332
2025.10.07 10:40:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,6490
2025.10.07 11:09:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,6519
2025.10.07 12:22:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,6592
2025.10.08 08:08:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,7770
2025.10.08 08:20:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,7782
2025.10.08 08:28:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,7790
2025.10.08 09:58:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,7880
2025.10.08 10:15:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,7897
2025.10.08 10:34:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,7916
2025.10.08 11:20:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,7962
2025.10.09 08:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,9197
2025.10.09 08:36:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,9232
2025.10.09 10:05:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,9321
2025.10.09 10:16:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,9332
2025.10.09 10:25:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,9341
2025.10.09 12:04:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,9440
2025.10.09 12:41:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,9477
2025.10.09 12:57:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,9493
2025.10.10 08:05:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,10634
2025.10.10 08:21:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,10650
2025.10.10 08:34:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,10663
2025.10.10 11:13:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,10822
2025.10.10 12:28:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,10897
2025.10.10 13:37:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,10966
2025.10.13 08:01:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,12063
2025.10.13 09:33:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,12155
2025.10.13 10:06:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,12188
2025.10.13 11:23:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,12265
2025.10.13 12:03:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,12305
2025.10.13 12:27:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,12329
2025.10.14 08:07:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,13503
2025.10.14 08:18:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,13514
2025.10.14 10:51:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,13667
2025.10.14 13:17:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,13813
2025.10.14 13:34:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,13830
2025.10.15 08:08:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,14935
2025.10.15 08:23:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,14950
2025.10.15 08:39:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,14966
2025.10.15 09:57:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,15044
2025.10.15 10:35:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,15082
2025.10.15 10:49:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,15096
2025.10.15 13:27:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,15254
2025.10.15 13:51:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,15278
2025.10.16 08:08:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,16369
2025.10.16 09:11:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,16432
2025.10.16 11:42:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.200000,16583
2025.10.17 08:04:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,17799
2025.10.17 08:17:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.200000,17812
2025.10.17 08:21:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,17816
2025.10.17 08:53:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,17848
2025.10.17 09:16:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,17871
2025.10.17 11:49:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,18024
2025.10.17 11:55:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,18030
2025.10.20 08:04:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,19232
2025.10.20 08:21:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,19249
2025.10.20 10:54:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,19402
2025.10.20 13:28:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,19556
2025.10.21 08:02:00Z,AF-CAND-0733,mt5run-20260414T001532Z,1,0.100000,20662
2025.10.21 08:08:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,20668
2025.10.21 10:47:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,20827
2025.10.21 13:18:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,20978
2025.10.22 08:04:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,22098
2025.10.22 10:56:00Z,AF-CAND-0733,mt5run-20260414T001532Z,-1,0.100000,22270
