timestamp_utc,exit_timestamp_utc,side,entry_price,exit_price,pnl_pips,pnl_dollars,candidate_id,run_id,magic_number,ticket,exit_reason,stop_loss_price,take_profit_price,same_bar_collision
2025.10.01 13:36:00Z,2025.10.01 15:47:40Z,short,1.17535,1.17315,22.00000,1100.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,3,take_profit,1.17655,1.17315,false
2025.10.01 16:16:00Z,2025.10.01 18:40:00Z,short,1.17365,1.17274,9.10000,455.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,5,timeout,1.17485,1.17145,false
2025.10.03 15:22:00Z,2025.10.03 17:46:00Z,short,1.17473,1.17387,8.60000,430.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,7,timeout,1.17593,1.17253,false
2025.10.06 13:43:00Z,2025.10.06 15:09:40Z,long,1.16829,1.17049,22.00000,1100.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,9,take_profit,1.16709,1.17049,false
2025.10.07 15:39:00Z,2025.10.07 16:08:20Z,short,1.16562,1.16682,-12.00000,-600.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,11,stop_loss,1.16682,1.16342,false
2025.10.07 17:36:00Z,2025.10.07 20:00:00Z,short,1.16749,1.16578,17.10000,855.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,13,timeout,1.16869,1.16529,false
2025.10.08 13:08:00Z,2025.10.08 13:33:40Z,short,1.16258,1.16378,-12.00000,-600.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,15,stop_loss,1.16378,1.16038,false
2025.10.08 14:03:00Z,2025.10.08 16:27:00Z,short,1.16329,1.16173,15.60000,780.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,17,timeout,1.16449,1.16109,false
2025.10.08 17:03:00Z,2025.10.08 19:16:40Z,short,1.16053,1.16173,-12.00000,-600.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,19,stop_loss,1.16173,1.15833,false
2025.10.09 13:49:00Z,2025.10.09 15:22:40Z,short,1.16117,1.15897,22.00000,1100.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,21,take_profit,1.16237,1.15897,false
2025.10.10 14:45:00Z,2025.10.10 16:03:40Z,long,1.15674,1.15894,22.00000,1100.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,23,take_profit,1.15554,1.15894,false
2025.10.13 13:20:00Z,2025.10.13 13:51:20Z,long,1.15736,1.15616,-12.00000,-600.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,25,stop_loss,1.15616,1.15956,false
2025.10.13 16:45:00Z,2025.10.13 19:09:00Z,long,1.15711,1.15766,5.50000,275.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,27,timeout,1.15591,1.15931,false
2025.10.14 16:45:00Z,2025.10.14 19:09:00Z,long,1.15939,1.16107,16.80000,840.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,29,timeout,1.15819,1.16159,false
2025.10.15 15:56:00Z,2025.10.15 16:45:40Z,long,1.16240,1.16460,22.00000,1100.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,31,take_profit,1.16120,1.16460,false
2025.10.16 13:02:00Z,2025.10.16 15:26:00Z,long,1.16548,1.16674,12.60000,630.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,33,timeout,1.16428,1.16768,false
2025.10.16 15:50:00Z,2025.10.16 18:14:00Z,long,1.16721,1.16894,17.30000,865.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,35,timeout,1.16601,1.16941,false
2025.10.17 15:56:00Z,2025.10.17 18:20:00Z,long,1.16680,1.16740,6.00000,300.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,37,timeout,1.16560,1.16900,false
2025.10.21 15:57:00Z,2025.10.21 18:21:00Z,long,1.16030,1.16079,4.90000,245.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,39,timeout,1.15910,1.16250,false
2025.10.22 14:12:00Z,2025.10.22 15:56:40Z,long,1.15861,1.16081,22.00000,1100.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,41,take_profit,1.15741,1.16081,false
2025.10.22 16:15:00Z,2025.10.22 18:39:00Z,short,1.16108,1.16184,-7.60000,-380.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,43,timeout,1.16228,1.15888,false
2025.10.23 14:51:00Z,2025.10.23 15:30:40Z,short,1.16057,1.16177,-12.00000,-600.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,45,stop_loss,1.16177,1.15837,false
2025.10.24 13:28:00Z,2025.10.24 13:30:40Z,long,1.16136,1.16356,22.00000,1100.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,47,take_profit,1.16016,1.16356,false
2025.10.24 17:22:00Z,2025.10.24 19:46:00Z,long,1.16267,1.16257,-1.00000,-50.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,49,timeout,1.16147,1.16487,false
2025.10.28 15:55:00Z,2025.10.28 16:39:40Z,long,1.16369,1.16589,22.00000,1100.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,51,take_profit,1.16249,1.16589,false
2025.10.29 14:36:00Z,2025.10.29 16:57:40Z,short,1.16356,1.16476,-12.00000,-600.00,AF-CAND-0263,mt5run-20260325T034444Z,200263,53,stop_loss,1.16476,1.16136,false
