expected_index,actual_index,side,expected_timestamp_utc,actual_timestamp_utc,expected_exit_timestamp_utc,actual_exit_timestamp_utc,expected_entry_price,actual_entry_price,expected_exit_price,actual_exit_price,expected_pnl_pips,actual_pnl_pips,expected_exit_reason,actual_exit_reason,exit_reason_match,expected_stop_loss_price,actual_stop_loss_price,expected_take_profit_price,actual_take_profit_price,expected_same_bar_collision,actual_same_bar_collision,same_bar_collision_match,expected_collision_resolution,baseline_expected_exit_timestamp_utc,baseline_expected_exit_price,baseline_expected_pnl_pips,baseline_expected_exit_reason,baseline_expected_stop_loss_price,baseline_expected_take_profit_price,comparison_basis,boundary_ambiguous_close_timing,entry_price_delta_pips,exit_price_delta_pips,fill_delta_pips,close_timing_delta_seconds,breach_entry_price,breach_exit_price,breach_fill_delta,breach_close_timing,breach_exit_reason,breach_same_bar_collision,breach_any,likely_cause
0,2,short,2025-10-01T08:24:00Z,2025-10-01T08:24:00Z,2025-10-01T10:33:00Z,2025-10-01T10:33:40Z,1.17664,1.17664,1.17414,1.17414,25.0,25.0,take_profit,take_profit,True,1.17744,1.17744,1.17414,1.17414,False,False,True,,2025-10-01T10:33:00Z,1.17414,25.0,take_profit,1.17744,1.17414,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
1,3,short,2025-10-01T10:34:00Z,2025-10-01T10:34:00Z,2025-10-01T11:30:00Z,2025-10-01T11:30:40Z,1.17416,1.17416,1.17166,1.17166,25.0,25.0,take_profit,take_profit,True,1.17496,1.17496,1.17166,1.17166,False,False,True,,2025-10-01T11:30:00Z,1.17166,25.0,take_profit,1.17496,1.17166,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
2,4,short,2025-10-01T11:31:00Z,2025-10-01T11:31:00Z,2025-10-01T11:41:00Z,2025-10-01T11:41:40Z,1.1717,1.1717,1.1725,1.1725,-8.0,-8.0,stop_loss,stop_loss,True,1.1725,1.1725,1.1692,1.1692,False,False,True,,2025-10-01T11:41:00Z,1.1725,-8.0,stop_loss,1.1725,1.1692,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
3,5,long,2025-10-01T11:42:00Z,2025-10-01T11:42:00Z,2025-10-01T13:15:00Z,2025-10-01T13:15:40Z,1.17259,1.1726,1.1751,1.1751,25.0,25.0,take_profit,take_profit,True,1.1718,1.1718,1.1751,1.1751,False,False,True,,2025-10-01T13:15:00Z,1.17509,25.0,take_profit,1.17179,1.17509,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
4,6,long,2025-10-01T13:16:00Z,2025-10-01T13:16:00Z,2025-10-01T15:16:00Z,2025-10-01T15:16:40Z,1.17484,1.17485,1.17405,1.17405,-8.0,-8.0,stop_loss,stop_loss,True,1.17405,1.17405,1.17735,1.17735,False,False,True,,2025-10-01T15:16:00Z,1.17404,-8.0,stop_loss,1.17404,1.17734,actual_fill_adjusted_executable,True,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
5,7,long,2025-10-02T08:00:00Z,2025-10-02T08:00:00Z,2025-10-02T11:00:00Z,2025-10-02T11:00:00Z,1.1743,1.17431,1.17549,1.17549,11.8,11.8,timeout,timeout,True,1.17351,1.17351,1.17681,1.17681,False,False,True,,2025-10-02T11:00:00Z,1.17549,11.9,timeout,1.1735,1.1768,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
6,8,short,2025-10-02T11:02:00Z,2025-10-02T11:02:00Z,2025-10-02T13:04:00Z,2025-10-02T13:04:40Z,1.17497,1.17497,1.17577,1.17577,-8.0,-8.0,stop_loss,stop_loss,True,1.17577,1.17577,1.17247,1.17247,False,False,True,,2025-10-02T13:04:00Z,1.17577,-8.0,stop_loss,1.17577,1.17247,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
7,9,long,2025-10-02T13:05:00Z,2025-10-02T13:05:00Z,2025-10-02T13:25:00Z,2025-10-02T13:25:40Z,1.17579,1.1758,1.175,1.175,-8.0,-8.0,stop_loss,stop_loss,True,1.175,1.175,1.1783,1.1783,False,False,True,,2025-10-02T13:25:00Z,1.17499,-8.0,stop_loss,1.17499,1.17829,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
8,10,short,2025-10-02T13:26:00Z,2025-10-02T13:26:00Z,2025-10-02T14:43:00Z,2025-10-02T14:43:40Z,1.17504,1.17504,1.17254,1.17254,25.0,25.0,take_profit,take_profit,True,1.17584,1.17584,1.17254,1.17254,False,False,True,,2025-10-02T14:43:00Z,1.17254,25.0,take_profit,1.17584,1.17254,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
9,11,long,2025-10-03T08:01:00Z,2025-10-03T08:01:00Z,2025-10-03T11:01:00Z,2025-10-03T11:01:00Z,1.17221,1.17222,1.17374,1.17374,15.2,15.2,timeout,timeout,True,1.17142,1.17142,1.17472,1.17472,False,False,True,,2025-10-03T11:01:00Z,1.17374,15.3,timeout,1.17141,1.17471,actual_fill_adjusted_executable,False,0.1,0.0,0.0,0.0,False,False,False,False,False,False,False,within_tolerance
10,12,short,2025-10-03T11:05:00Z,2025-10-03T11:05:00Z,2025-10-03T12:48:00Z,2025-10-03T12:48:20Z,1.1735,1.1735,1.1743,1.1743,-8.0,-8.0,stop_loss,stop_loss,True,1.1743,1.1743,1.171,1.171,False,False,True,,2025-10-03T12:48:00Z,1.1743,-8.0,stop_loss,1.1743,1.171,actual_fill_adjusted_executable,False,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
11,13,short,2025-10-03T12:56:00Z,2025-10-03T12:56:00Z,2025-10-03T14:45:00Z,2025-10-03T14:44:40Z,1.17361,1.17361,1.17441,1.17441,-8.0,-8.0,stop_loss,stop_loss,True,1.17441,1.17441,1.17111,1.17111,False,False,True,,2025-10-03T14:45:00Z,1.17441,-8.0,stop_loss,1.17441,1.17111,actual_fill_adjusted_executable,True,0.0,0.0,0.0,20.0,False,False,False,False,False,False,False,within_tolerance
12,14,short,2025-10-06T08:01:00Z,2025-10-06T08:01:00Z,2025-10-06T08:05:00Z,2025-10-06T08:05:40Z,1.16928,1.16928,1.17008,1.17008,-8.0,-8.0,stop_loss,stop_loss,True,1.17008,1.17008,1.16678,1.16678,False,False,True,,2025-10-06T08:05:00Z,1.17008,-8.0,stop_loss,1.17008,1.16678,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
13,15,long,2025-10-06T08:06:00Z,2025-10-06T08:06:00Z,2025-10-06T08:41:00Z,2025-10-06T08:41:40Z,1.16999,1.17,1.1692,1.1692,-8.0,-8.0,stop_loss,stop_loss,True,1.1692,1.1692,1.1725,1.1725,False,False,True,,2025-10-06T08:41:00Z,1.16919,-8.0,stop_loss,1.16919,1.17249,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
14,16,short,2025-10-06T08:42:00Z,2025-10-06T08:42:00Z,2025-10-06T09:00:00Z,2025-10-06T09:00:40Z,1.16857,1.16857,1.16607,1.16607,25.0,25.0,take_profit,take_profit,True,1.16937,1.16937,1.16607,1.16607,False,False,True,,2025-10-06T09:00:00Z,1.16607,25.0,take_profit,1.16937,1.16607,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
15,17,short,2025-10-06T09:01:00Z,2025-10-06T09:01:00Z,2025-10-06T09:30:00Z,2025-10-06T09:30:40Z,1.16609,1.16609,1.16689,1.16689,-8.0,-8.0,stop_loss,stop_loss,True,1.16689,1.16689,1.16359,1.16359,False,False,True,,2025-10-06T09:30:00Z,1.16689,-8.0,stop_loss,1.16689,1.16359,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
16,18,long,2025-10-06T09:31:00Z,2025-10-06T09:31:00Z,2025-10-06T10:09:00Z,2025-10-06T10:09:40Z,1.16697,1.16698,1.16618,1.16618,-8.0,-8.0,stop_loss,stop_loss,True,1.16618,1.16618,1.16948,1.16948,False,False,True,,2025-10-06T10:09:00Z,1.16617,-8.0,stop_loss,1.16617,1.16947,actual_fill_adjusted_executable,False,0.1,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
17,19,short,2025-10-06T10:10:00Z,2025-10-06T10:10:00Z,2025-10-06T12:14:00Z,2025-10-06T12:14:40Z,1.16603,1.16603,1.16683,1.16683,-8.0,-8.0,stop_loss,stop_loss,True,1.16683,1.16683,1.16353,1.16353,False,False,True,,2025-10-06T12:14:00Z,1.16683,-8.0,stop_loss,1.16683,1.16353,actual_fill_adjusted_executable,False,0.0,0.0,0.0,40.0,False,False,False,False,False,False,False,within_tolerance
