timestamp_utc,exit_timestamp_utc,side,entry_price,exit_price,pnl_pips,pnl_dollars,candidate_id,run_id,magic_number,ticket,exit_reason,stop_loss_price,take_profit_price,same_bar_collision
2026.03.25 15:44:00Z,2026.03.25 18:08:00Z,short,1.15808,1.15614,19.40000,970.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,3,timeout,1.15928,1.15588,false
2026.03.26 16:26:00Z,2026.03.26 17:39:36Z,long,1.15491,1.15371,-12.00000,-600.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,5,stop_loss,1.15371,1.15711,false
2026.03.26 17:55:00Z,2026.03.26 19:43:53Z,long,1.15395,1.15275,-12.00000,-600.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,7,stop_loss,1.15275,1.15615,false
2026.03.30 13:57:00Z,2026.03.30 14:40:44Z,long,1.14843,1.14723,-12.00000,-600.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,9,stop_loss,1.14723,1.15063,false
2026.03.31 14:36:00Z,2026.03.31 14:52:55Z,short,1.15140,1.15262,-12.20000,-610.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,11,stop_loss,1.15260,1.14920,false
2026.03.31 16:42:00Z,2026.03.31 17:38:41Z,short,1.15187,1.15307,-12.00000,-600.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,13,stop_loss,1.15307,1.14967,false
2026.04.01 17:11:00Z,2026.04.01 18:06:09Z,short,1.16102,1.16223,-12.10000,-605.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,15,stop_loss,1.16222,1.15882,false
2026.04.02 15:16:00Z,2026.04.02 15:36:26Z,long,1.15325,1.15554,22.90000,1145.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,17,take_profit,1.15205,1.15545,false
2026.04.02 15:44:00Z,2026.04.02 18:08:00Z,long,1.15487,1.15436,-5.10000,-255.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,19,timeout,1.15367,1.15707,false
2026.04.07 14:23:00Z,2026.04.07 16:47:00Z,long,1.15634,1.15697,6.30000,315.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,21,timeout,1.15514,1.15854,false
2026.04.08 17:31:00Z,2026.04.08 19:41:36Z,short,1.16797,1.16577,22.00000,1100.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,23,take_profit,1.16917,1.16577,false
2026.04.10 13:53:00Z,2026.04.10 14:21:31Z,short,1.17149,1.17269,-12.00000,-600.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,25,stop_loss,1.17269,1.16929,false
2026.04.10 15:09:00Z,2026.04.10 15:55:20Z,long,1.17321,1.17201,-12.00000,-600.00,AF-CAND-0263,mt5incident-20260412T012928Z,200263,27,stop_loss,1.17201,1.17541,false
